ISO code,Population,Value
"GTM","Guatemala","0.56",
"THA","Thailand","0.52",
"AZE","Azerbaijan","0.74",
"MDG","Madagascar","1.2",
"COM","Comoros","0.23",
"POL","Poland","5.1",
"ZMB","Zambia","0.79",
"IND","India","0.29",
"UGA","Uganda","1.0",
"ARM","Armenia","1.5",
"MRT","Mauritania","0.60",
"CZE","Czechia","13.0",
"ROU","Romania","4.7",
"ETH","Ethiopia","0.35",
"SRB","Serbia","7.8",
"CIV","Côted'Ivoire","0.42",
"BFA","BurkinaFaso","0.74",
"BRA","Brazil","3.0",
"MOZ","Mozambique","0.83",
"PYF","FrenchPolynesia","5.9",
"ZAF","SouthAfrica","3.5",
"KOR","Korea,Republicof","0.74",
"BLR","Belarus","5.8",
"NZL","NewZealand","31.6",
"GHA","Ghana","0.24",
"SWE","Sweden","23.3",
"AFG","Afghanistan","0.56",
"LBR","Liberia","0.56",
"TCD","Chad","0.60",
"PNG","PapuaNewGuinea","3.5",
"HTI","Haiti","0.32",
"ARE","UnitedArabEmirates","0.48",
"AUT","Austria","13.5",
"MDV","Maldives","0",
"CRI","CostaRica","2.1",
"TLS","Timor-Leste","0.56",
"LCA","SaintLucia","0.40",
"IRQ","Iraq","0.45",
"EGY","Egypt","0.22",
"BTN","Bhutan","0.71",
"MNG","Mongolia","0.35",
"DOM","DominicanRepublic","0.35",
"FJI","Fiji","1.0",
"SVK","Slovakia","8.6",
"KAZ","Kazakhstan","1.2",
"VEN","Venezuela,BolivarianRepublicof","1.5",
"BRN","BruneiDarussalam","0.56",
"NPL","Nepal","0.17",
"GEO","Georgia","4.1",
"SSD","SouthSudan","0.94",
"LAO","LaoPeople'sDemocraticRepublic","0.46",
"CAN","Canada","12.2",
"NGA","Nigeria","0.45",
"GUA","Guam","0",
"TJK","Tajikistan","0.45",
"AGO","Angola","1.8",
"LUX","Luxembourg","15.5",
"COL","Colombia","2.9",
"PHL","Philippines","0.45",
"ISL","Iceland","8.8",
"TKM","Turkmenistan","0.86",
"BGD","Bangladesh","0.31",
"MTQ","France,Martinique","1.9",
"CYP","Cyprus","4.5",
"REU","France,LaRéunion","3.3",
"YEM","Yemen","0.27",
"GNQ","EquatorialGuinea","0.16",
"SEN","Senegal","0.68",
"ITA","Italy","12.2",
"USA","UnitedStatesofAmerica","16.6",
"BWA","Botswana","1.8",
"MAR","Morocco","0.61",
"GUF","FrenchGuiana","3.9",
"SOM","Somalia","0.55",
"PRK","Korea,DemocraticRepublicof","0.28",
"BDI","Burundi","1.0",
"VUT","Vanuatu","0.88",
"DEU","Germany","20.5",
"SWZ","Eswatini","0.46",
"LVA","Latvia","6.3",
"LKA","SriLanka","0.37",
"PAN","Panama","0.80",
"GUY","Guyana","0",
"TTO","TrinidadandTobago","0.27",
"AUS","Australia","36.6",
"MYS","Malaysia","0.47",
"COD","Congo,DemocraticRepublicof","1.5",
"GNB","Guinea-Bissau","0.72",
"IRN","Iran,IslamicRepublicof","0.67",
"MKD","NorthMacedonia","6.4",
"BEL","Belgium","18.6",
"MEX","Mexico","1.5",
"DNK","Denmark","29.7",
"RWA","Rwanda","0.79",
"EST","Estonia","11.6",
"SGP","Singapore","0.56",
"JPN","Japan","0.49",
"UZB","Uzbekistan","0.55",
"SLB","SolomonIslands","0.44",
"NAM","Namibia","4.9",
"GAB","Gabon","0.71",
"ESP","Spain","6.8",
"KGZ","Kyrgyzstan","0.67",
"CMR","Cameroon","1.2",
"NER","Niger","0.28",
"GLP","France,Guadeloupe","1.5",
"SYR","SyrianArabRepublic","0.67",
"DZA","Algeria","0.64",
"LTU","Lithuania","9.8",
"CHN","China","0.36",
"PER","Peru","3.2",
"HUN","Hungary","8.4",
"TUR","Turkey","1.7",
"BHR","Bahrain","0.18",
"MLT","Malta","6.8",
"CUB","Cuba","0.86",
"QAT","Qatar","0.23",
"SLV","ElSalvador","0.27",
"SAU","SaudiArabia","0.22",
"ISR","Israel","10.3",
"TZA","Tanzania,UnitedRepublicof","1.4",
"BIH","BosniaandHerzegovina","4.4",
"MNE","Montenegro","5.6",
"FRA","France","15.2",
"SVN","Slovenia","19.7",
"KEN","Kenya","1.1",
"MMR","Myanmar","0.25",
"NCL","France,NewCaledonia","6.6",
"PSE","GazaStripandWestBank","0.71",
"SUR","Suriname","0.60",
"LSO","Lesotho","0.40",
"CAF","CentralAfricanRepublic","1.1",
"PAK","Pakistan","0.29",
"GIN","Guinea","0.78",
"TGO","Togo","1.3",
"ARG","Argentina","2.9",
"MWI","Malawi","2.4",
"COG","Congo,Republicof","1.8",
"PRT","Portugal","5.6",
"IDN","Indonesia","0.59",
"UKR","Ukraine","5.4",
"BRB","Barbados","0",
"MUS","Mauritius","0.21",
"BEN","Benin","0.28",
"RUS","RussianFederation","5.0",
"ERI","Eritrea","0.32",
"SLE","SierraLeone","0.57",
"JAM","Jamaica","0.34",
"URY","Uruguay","5.0",
"BLZ","Belize","3.8",
"OMN","Oman","0.50",
"DJI","Djibouti","0",
"ZWE","Zimbabwe","2.3",
"KWT","Kuwait","0.25",
"KHM","Cambodia","0.50",
"NIC","Nicaragua","0.68",
"GRC","Greece","7.2",
"CHE","Switzerland","21.6",
"ALB","Albania","1.5",
"LBY","Libya","0.32",
"CHL","Chile","3.0",
"PRY","Paraguay","3.3",
"HND","Honduras","0.85",
"TUN","Tunisia","0.54",
"BHS","Bahamas","0.55",
"MLI","Mali","0.82",
"HRV","Croatia","9.1",
"PRI","PuertoRico","1.8",
"STP","SaoTomeandPrincipe","0",
"IRL","Ireland","17.1",
"GBR","UnitedKingdom","16.0",
"BOL","Bolivia,PlurinationalStateof","2.4",
"MDA","RepublicofMoldova","2.9",
"ECU","Ecuador","2.3",
"FIN","Finland","19.5",
"VNM","VietNam","0.16",
"JOR","Jordan","0.37",
"WSM","Samoa","1.2",
"BGR","Bulgaria","4.7",
"NLD","TheNetherlands","27.0",
"GMB","TheRepublicoftheGambia","0",
"SDN","Sudan","0.57",
"LBN","Lebanon","1.2",
"CPV","CaboVerde","1.7",
"NOR","Norway","26.4",
